gender,yearsExperience,yearsSchool,wage,,STD,AVG,COV
female,39,42,6.315295646,EXP,16.94704809,21.56097561,78.60056242
female,29,16,5.479769979,SCHOOL,15.62857764,25.43902439,61.43544422
female,43,37,3.642169917,,,,
female,22,17,4.5933366,,,,
female,21,42,2.418157461,,,,
female,31,16,2.09405811,,,,
female,10,1,5.51200392,,,,
female,6,45,3.54842716,,,,
female,5,7,5.81822636,,,,
female,47,10,3.8277805,,,,
female,48,13,6.73689368,,,,
female,30,20,12.86134248,,,,
female,5,0,7.655561,,,,
female,20,2,2.44977952,,,,
female,3,36,6.105662147,,,,
female,2,40,8.26800588,,,,
female,33,44,1.862405483,,,,
female,2,47,3.98089172,,,,
female,1,30,4.763460178,,,,
female,7,8,6.380595586,,,,
female,48,2,5.631123847,,,,
female,44,10,2.488057325,,,,
female,16,22,1.223738277,,,,
female,16,18,1.345653539,,,,
female,1,33,0.751111645,,,,
female,47,39,11.33023028,,,,
female,3,22,3.894757656,,,,
female,13,23,2.998515251,,,,
female,18,29,3.267896188,,,,
female,11,7,1.355197181,,,,
female,42,6,4.28711416,,,,
female,10,37,7.624938756,,,,
female,3,44,4.443786106,,,,
female,13,28,1.134281476,,,,
female,42,44,9.064184223,,,,
female,19,43,3.98089172,,,,
female,2,42,3.450705238,,,,
female,33,38,8.096728922,,,,
female,49,37,8.735213831,,,,
female,5,44,7.275845174,,,,
female,45,2,5.51200392,,,,